date,year,doy,Hour,lt,Lat_of_Earth,Lon_of_Earth,BR,BT,BN,|B,Solar_Wind_Speed,THETA_elevation_angle_of_v,PHI_azimuth_angle_of_v,Ion_Density,Temperature
2014-09-01,2014,244,0,18,7.2,261.4,3.0,-4.6,0.3,6.6,443.0,-0.5,1.0,4.8,123862.0
2014-09-01,2014,244,1,19,7.2,261.4,3.2,-0.5,-3.0,6.4,445.0,2.9,-2.9,5.0,127242.0
2014-09-01,2014,244,2,20,7.2,261.4,5.2,-1.9,-2.5,6.8,423.0,2.8,-1.7,5.0,96299.0
2014-09-01,2014,244,3,21,7.2,261.5,5.1,-1.3,1.0,6.3,423.0,-0.8,-1.9,4.9,107683.0
2014-09-01,2014,244,4,22,7.2,261.5,4.0,-3.0,-1.1,6.1,426.0,1.3,-0.2,4.7,124085.0
2014-09-01,2014,244,5,23,7.2,261.6,4.5,-1.8,1.3,5.7,420.0,-1.3,-1.6,4.5,117579.0
2014-09-01,2014,244,6,0,7.2,261.6,3.0,-4.2,0.1,5.8,431.0,0.5,0.6,4.3,132991.0
2014-09-01,2014,244,7,1,7.2,261.7,5.4,-0.7,-1.3,5.8,407.0,2.8,-3.7,4.5,96077.0
2014-09-01,2014,244,8,2,7.2,261.7,3.2,0.2,1.9,5.3,430.0,-1.4,-4.3,4.6,119413.0
2014-09-01,2014,244,9,3,7.2,261.7,2.4,-3.5,0.1,5.3,432.0,0.5,-0.3,4.4,122812.0
2014-09-01,2014,244,10,4,7.2,261.8,-0.1,1.4,3.8,5.9,456.0,-2.8,-4.7,4.1,96691.0
2014-09-01,2014,244,11,5,7.2,261.8,2.8,-1.7,1.1,5.7,426.0,0.5,-1.0,4.0,94109.0
2014-09-01,2014,244,12,6,7.2,261.9,4.0,-1.9,-1.2,5.7,414.0,3.4,-1.1,4.4,89345.0
2014-09-01,2014,244,13,7,7.2,261.9,-1.6,-4.9,-1.1,5.9,462.0,2.0,2.0,3.5,77853.0
2014-09-01,2014,244,14,8,7.2,261.9,1.1,-4.4,0.0,5.6,439.0,1.2,1.4,3.9,76595.0
2014-09-01,2014,244,15,9,7.2,262.0,3.0,-2.2,2.1,5.4,416.0,-1.0,-0.7,4.4,88563.0
2014-09-01,2014,244,16,10,7.2,262.0,3.2,-2.3,2.2,5.3,413.0,-1.8,-0.6,4.4,83064.0
2014-09-01,2014,244,17,11,7.2,262.1,4.7,-1.4,0.5,5.5,397.0,0.6,-1.0,4.2,62031.0
2014-09-01,2014,244,18,12,7.2,262.1,3.9,-3.0,-0.9,5.5,402.0,1.8,1.1,3.9,51464.0
2014-09-01,2014,244,19,13,7.2,262.1,3.0,-3.4,1.5,5.3,406.0,-1.5,1.2,3.9,57087.0
2014-09-01,2014,244,20,14,7.2,262.2,3.8,-2.6,1.4,5.4,396.0,-1.1,0.7,3.9,52487.0
2014-09-01,2014,244,21,15,7.2,262.2,2.9,-2.6,2.4,5.2,404.0,-1.1,2.2,3.7,80572.0
