date,lt,year,doy,glon,trough_min_lat,AE,AE6,Kp,Kp9,Cp,C9,sum_8kp,mean_8ap,F10.7,Hour,Lat_of_Earth,Lon_of_Earth,BR,BT,BN,|B,Solar_Wind_Speed,THETA_elevation_angle_of_v,PHI_azimuth_angle_of_v,Ion_Density,Temperature
2014-09-01,0,2014,244,-90,47.0,336.0,268.1,2.3,2.4,0.6,3,19.3,10,128.9,6,7.2,261.6,3.0,-4.2,0.1,5.8,431.0,0.5,0.6,4.3,132991.0
2014-09-01,1,2014,244,-90,47.0,389.0,344.6,2.3,2.4,0.6,3,19.3,10,128.9,7,7.2,261.7,5.4,-0.7,-1.3,5.8,407.0,2.8,-3.7,4.5,96077.0
2014-09-01,2,2014,244,-90,46.0,291.0,310.7,2.3,2.4,0.6,3,19.3,10,128.9,8,7.2,261.7,3.2,0.2,1.9,5.3,430.0,-1.4,-4.3,4.6,119413.0
2014-09-01,3,2014,244,-90,47.0,192.0,235.6,2.3,2.3,0.6,3,19.3,10,128.9,9,7.2,261.7,2.4,-3.5,0.1,5.3,432.0,0.5,-0.3,4.4,122812.0
2014-09-01,4,2014,244,-90,46.0,488.0,395.3,2.3,2.3,0.6,3,19.3,10,128.9,10,7.2,261.8,-0.1,1.4,3.8,5.9,456.0,-2.8,-4.7,4.1,96691.0
2014-09-01,5,2014,244,-90,46.0,285.0,325.6,2.3,2.3,0.6,3,19.3,10,128.9,11,7.2,261.8,2.8,-1.7,1.1,5.7,426.0,0.5,-1.0,4.0,94109.0
2014-09-01,18,2014,244,-90,52.0,228.0,410.3,3.0,3.3,0.6,3,19.3,10,128.9,0,7.2,261.4,3.0,-4.6,0.3,6.6,443.0,-0.5,1.0,4.8,123862.0
2014-09-01,19,2014,244,-90,51.0,258.0,412.4,3.0,3.3,0.6,3,19.3,10,128.9,1,7.2,261.4,3.2,-0.5,-3.0,6.4,445.0,2.9,-2.9,5.0,127242.0
2014-09-01,20,2014,244,-90,50.0,289.0,404.6,3.0,3.3,0.6,3,19.3,10,128.9,2,7.2,261.4,5.2,-1.9,-2.5,6.8,423.0,2.8,-1.7,5.0,96299.0
2014-09-01,21,2014,244,-90,50.0,239.0,350.3,2.3,2.6,0.6,3,19.3,10,128.9,3,7.2,261.5,5.1,-1.3,1.0,6.3,423.0,-0.8,-1.9,4.9,107683.0
2014-09-01,22,2014,244,-90,49.0,246.0,310.9,2.3,2.6,0.6,3,19.3,10,128.9,4,7.2,261.5,4.0,-3.0,-1.1,6.1,426.0,1.3,-0.2,4.7,124085.0
2014-09-01,23,2014,244,-90,48.0,95.0,277.1,2.3,2.6,0.6,3,19.3,10,128.9,5,7.2,261.6,4.5,-1.8,1.3,5.7,420.0,-1.3,-1.6,4.5,117579.0
2014-09-02,0,2014,245,-90,49.0,387.0,314.8,2.0,2.1,0.5,2,17.7,9,138.7,6,7.2,262.6,3.2,-2.2,2.9,5.3,407.0,-3.6,0.3,4.6,73264.0
2014-09-02,1,2014,245,-90,49.0,227.0,259.3,2.0,2.1,0.5,2,17.7,9,138.7,7,7.2,262.6,0.8,-3.4,0.9,4.7,422.0,-1.5,0.5,4.5,87164.0
2014-09-02,2,2014,245,-90,49.0,185.0,212.4,2.0,2.1,0.5,2,17.7,9,138.7,8,7.2,262.7,-1.1,-4.4,1.1,4.9,433.0,-1.5,1.8,4.8,75138.0
2014-09-02,3,2014,245,-90,49.0,111.0,148.3,1.7,1.8,0.5,2,17.7,9,138.7,9,7.2,262.7,0.7,-1.5,1.1,4.5,423.0,-1.3,-0.6,4.7,77928.0
2014-09-02,4,2014,245,-90,49.0,281.0,232.3,1.7,1.8,0.5,2,17.7,9,138.7,10,7.2,262.7,0.5,-3.0,-2.4,4.9,421.0,0.8,0.1,4.8,72244.0
